ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,What word best describes this sound? ,On a scale from 1 to 5 how loud was this sound?,What kind of sound is this? ,Other - What kind of sound is this? ,On a scale from 1 to 5 how loud was this sound? (from most faint to loudest),Is there anything else we need to know about this sound? ,Are you outdoors or indoors? ,"What level are you on?  (0 = ground, 9= 9th floor or higher)",x,y
96,bc9ef6f1-04c9-4e01-99e6-24a8b703f371,4/18/2022 9:03:56 PM,adsp22_po524,4/18/2022 9:03:56 PM,adsp22_po524,Screams,,Human,,4,My roommates are having fun loudly ,Indoors,3,54.434924757731,24.5225842840208
97,7c172c42-1132-4b55-bfb0-e17052870678,4/18/2022 10:38:12 PM,adsp22_amd1139,4/18/2022 10:38:12 PM,adsp22_amd1139,Trolley,,Machine,,4,A2C,Outdoors,7,54.4331328028252,24.5241141973402
98,aed98873-ffc8-49ba-85a3-acc9ba7e6ce0,4/19/2022 5:39:51 AM,adsp22_met448,4/19/2022 5:39:51 AM,adsp22_met448,Professor speaking,,Human,,3,,Indoors,2,0,0
99,797b131b-64fd-47b8-ae6e-b775aad9bfa2,4/19/2022 6:15:59 AM,adsp22_kds490,4/19/2022 6:15:59 AM,adsp22_kds490,Birds singing,,Natural,,3,,Outdoors,0,54.4336496585444,24.5240525632744
100,c0ce883f-2711-4b64-b666-ace6fe0dcada,4/19/2022 6:18:58 AM,adsp22_mim7995,4/19/2022 6:18:58 AM,adsp22_mim7995,Birds chirping ,,Natural,,3,Under the palms,Outdoors,0,54.4339810883506,24.5239246389216
101,8b74c882-8fb0-4295-ae40-0cca10d93246,4/19/2022 6:19:38 AM,adsp22_mim7995,4/19/2022 6:19:38 AM,adsp22_mim7995,2 girls talking  ,,Human,,2,Under the palms ,Outdoors,0,54.4340615969073,24.5240165616825
102,844106f0-2550-45e6-96d8-aae3e2be8fcf,4/19/2022 11:11:14 AM,adsp22_gkm267,4/19/2022 11:11:14 AM,adsp22_gkm267,Pipes?,,Machine,,2,,Indoors,2,54.434711630205,24.5246608458883
103,e1e2a528-c0b6-41db-8df0-26f98a1fba2e,4/19/2022 12:06:50 PM,adsp22_met448,4/19/2022 12:06:50 PM,adsp22_met448,Wind,,Natural,,Faint 1,,Indoors,4,0,0
104,70857257-5553-43cb-b669-2fc9da90556c,4/20/2022 7:21:36 AM,adsp22_mim7995,4/20/2022 7:21:36 AM,adsp22_mim7995,Huge vehicles/trucks ,,Machine,,4,Near palms ,Outdoors,0,54.4342854301242,24.5241231390631
105,34a0c1a8-1eba-48b1-ba54-5ce9b1d52b1b,4/20/2022 7:22:43 AM,adsp22_mim7995,4/20/2022 7:22:43 AM,adsp22_mim7995,Birds chirping ,,Natural,,4,Palms ,Outdoors,0,54.4339485312926,24.5239832971782
